Last name;First name;Excluded;DHCJ;Lisiak;Schuppener
Hartzheim;Joseph;;x;;
Haunold;Christophe;;x;;
Hausmann;Léonard;;;;
Hautecour;Jacques Louis Pinot de;;;;
Hautoye;Antoine de la;;;;
Heidfeld;Adam;;;;
Hein;Wolfgang;;;;
Heinisch;Jacques;;;;x
Heinrich;Christophe;;;;x
Heislinger;Antonin;;;;
Helfenzrieder;Jean;;x;;
Hell;Gaspar;;;;
Hell;Maximilian;;x;;
Hennin;Jean de;x;;;
Henry;Jacques;;;;
Herbert;Joseph de;;x;;
Herbestus;Benoît;;x;;
Herele;David;;;;
Hermann;Jean;;;x;
Hertenstein;Léodegard;;;;
Hertl;Ignacio;;;;
Herwarth;Frédéric;;;;
Hesius, Hees van;Guillaume;;x;;
Hevensi;Gabriel;;x;;
Higgins;Adam;;;;
Hildebrand;Pierre;;;;
Hildeyard, Hilliar;Thomas;;x;;
Hoeller;François;;;;
Hoffmann;François;;;;
Holtzchlau;Thomas;;x;;
Holywood, a sacro bosco;Christophe;x;;;
Holzeisen;Antoine;;;;
Holzhay;George;;;;
Hompeck;Antoine;;;;
Horion;Jean de;;;;
Horvath;Jean-Baptiste;;x;;
Hoste;Paul;;x;;
Huberti;François;;;;
Hug;Hugo Pierre;;;;
Hugo;Hermann;;x;;
Incarville;Pierre d’;;x;;
Inchofer;Melchior;;x;;
Ivansics;Jean;;x;;
Izzo;Jean-Baptiste;;x;;
Jacobs;Jean;;;;
Jacquet;Luis;x;;;
Janossi;Nicolas;;;;
Janowka;Théophile;;;;
Jarrige;Pierre;x;;;
Jartoux;Pierre;;x;;
Jaszlinsky;André;;x;;
Jerg;Maximilien;;;;
Jonghe;Jean de;x;;;
Jordin;Antoine;;;;
Jouvancy;Joseph de;x;;;
Jung; Jean;;x;;
Junglingk;Jean;;;;x
Jurewicz;Stanislas;;;;
Karicher;Lambert;;;;
Kaschutnig;Jean-Baptiste;;;;
Kattenpoeck;Bernard;;;;
Kereckes;Martin;;;;
Keri;François-Borgia;;x;;
Kerich;Gaspar;;;;
Kern;George;;;;
Kerschpaumber;Jean;;;;
Khell, de Khellburg;Joseph;;x;;
Kierski;Valentin;;;;
Kinich;Jean Jérome;;;;
Kino, Chino;Eusèbe François;;x;;
Kircher;Athanasius;;x;;
Kirwitzer;Wenceslas Pantaléon;;x;;
Kisling;Jean;;;;
Kitzner;Balthazar;;;;
Klaus;Michel;;;;
Klausal;Jean;x;;;
Klein;Jean;;;;
Kleiner;Joseph;;;;
Kniazewicz;Grégoire;;;x;
Knittel;Gaspar;;;;x
Kochanski;Aadam Adamand;;x;x;x
Koegler;Ignace;;;;
Koenig;Jérôme;;x;;x
Koerber;Jean;;;;x
Koessler;Joseph;;;;
Kojalwicz Wijuk;Albert;;x;;
Krammer;Michel;x;;;
Kraz;George;;;;
Kresa;Jacques;;x;;x
Kreussler;Ignace;;;;
Krieger;Willibald;;;;
Krimpen, Crimpen;François-Xavier;;;;
Kruger;Oswald;;x;x;
